yyyymmdd,CS,TY,FT,HR,HER,yyyy,mm,dd
20010101,0,0,0,0,0,2001,1,1
20010102,0,0,0,0,0,2001,1,2
20010103,0,0,0,0,0,2001,1,3
20010104,0,0,0,1,1,2001,1,4
20010105,0,0,0,1,1,2001,1,5
20010106,0,0,0,1,0,2001,1,6
20010107,0,0,1,1,0,2001,1,7
20010108,0,0,0,0,0,2001,1,8
20010109,0,0,1,0,0,2001,1,9
20010110,0,0,0,0,0,2001,1,10
20010111,0,0,0,0,0,2001,1,11
20010112,0,0,0,0,0,2001,1,12
20010113,0,0,0,0,0,2001,1,13
20010114,0,0,0,0,0,2001,1,14
20010115,0,0,0,0,0,2001,1,15
20010116,0,0,0,0,0,2001,1,16
20010117,0,0,0,0,0,2001,1,17
20010118,0,0,0,0,0,2001,1,18
20010119,0,0,0,0,0,2001,1,19
20010120,0,0,1,0,0,2001,1,20
20010121,0,0,0,0,0,2001,1,21
20010122,0,0,0,0,0,2001,1,22
20010123,0,0,1,0,0,2001,1,23
20010124,0,0,0,0,0,2001,1,24
20010125,0,0,1,1,0,2001,1,25
20010126,0,0,1,1,0,2001,1,26
20010127,0,0,0,0,0,2001,1,27
20010128,0,0,0,1,0,2001,1,28
20010129,0,0,0,0,0,2001,1,29
20010130,0,0,0,0,0,2001,1,30
20010131,0,0,0,0,0,2001,1,31
20010201,0,0,0,0,0,2001,2,1
20010202,0,0,0,1,0,2001,2,2
20010203,0,0,0,0,0,2001,2,3
20010204,0,0,1,0,0,2001,2,4
20010205,0,0,0,0,0,2001,2,5
20010206,0,0,0,0,0,2001,2,6
20010207,0,0,1,1,0,2001,2,7
20010208,0,0,0,1,0,2001,2,8
20010209,0,0,0,1,0,2001,2,9
20010210,0,0,1,1,0,2001,2,10
20010211,0,0,0,0,0,2001,2,11
20010212,0,0,0,0,0,2001,2,12
20010213,0,0,1,1,0,2001,2,13
20010214,0,0,0,1,0,2001,2,14
20010215,0,0,0,0,0,2001,2,15
20010216,0,0,0,0,0,2001,2,16
20010217,0,0,0,0,0,2001,2,17
20010218,0,0,0,0,0,2001,2,18
20010219,0,0,0,0,0,2001,2,19
20010220,0,0,0,0,0,2001,2,20
20010221,0,0,0,0,0,2001,2,21
20010222,0,0,0,1,0,2001,2,22
20010223,0,0,0,1,0,2001,2,23
20010224,0,0,1,0,0,2001,2,24
20010225,0,0,0,0,0,2001,2,25
20010226,0,0,0,0,0,2001,2,26
20010227,0,0,0,0,0,2001,2,27
20010228,0,0,1,0,0,2001,2,28
20010301,0,0,0,0,0,2001,3,1
20010302,0,0,0,0,0,2001,3,2
20010303,0,0,0,0,0,2001,3,3
20010304,0,0,0,0,0,2001,3,4
20010305,0,0,0,0,0,2001,3,5
20010306,0,0,0,0,0,2001,3,6
20010307,0,0,1,1,0,2001,3,7
20010308,0,0,0,1,0,2001,3,8
20010309,0,0,0,0,0,2001,3,9
20010310,0,0,0,0,0,2001,3,10
20010311,0,0,1,0,0,2001,3,11
20010312,0,0,0,0,0,2001,3,12
20010313,0,0,0,0,0,2001,3,13
