"","front","typhoon","hr","ehr","tr","etr"
"20010101",0,0,0,0,0,0
"20010102",0,0,0,0,0,0
"20010103",0,0,0,0,0,0
"20010104",0,0,0,0,0,0
"20010105",0,0,0,0,0,0
"20010106",1,0,0,0,0,0
"20010107",1,0,0,0,0,0
"20010108",0,0,0,0,0,0
"20010109",1,0,0,0,0,0
"20010110",0,0,0,0,0,0
"20010111",0,0,0,0,0,0
"20010112",1,0,0,0,0,0
"20010113",0,0,0,0,0,0
"20010114",0,0,0,0,0,0
"20010115",0,0,0,0,0,0
"20010116",0,0,0,0,0,0
"20010117",0,0,0,0,0,0
"20010118",0,0,0,0,0,0
"20010119",0,0,0,0,0,0
"20010120",1,0,0,0,0,0
"20010121",0,0,0,0,0,0
"20010122",1,0,0,0,0,0
"20010123",1,0,0,0,0,0
"20010124",1,0,0,0,0,0
"20010125",1,0,0,0,0,0
"20010126",1,0,1,0,0,0
"20010127",0,0,0,0,0,0
"20010128",0,0,0,0,0,0
"20010129",0,0,0,0,0,0
"20010130",0,0,0,0,0,0
"20010131",1,0,0,0,0,0
"20010201",0,0,0,0,0,0
"20010202",0,0,0,0,0,0
"20010203",1,0,0,0,0,0
"20010204",1,0,0,0,0,0
"20010205",0,0,0,0,0,0
"20010206",1,0,0,0,0,0
"20010207",1,0,0,0,0,0
"20010208",0,0,0,0,0,0
"20010209",1,0,0,0,0,0
"20010210",1,0,0,0,0,0
"20010211",0,0,0,0,0,0
"20010212",1,0,0,0,0,0
"20010213",1,0,0,0,0,0
"20010214",0,0,0,0,0,0
"20010215",0,0,0,0,0,0
"20010216",0,0,0,0,0,0
"20010217",0,0,0,0,0,0
"20010218",0,0,0,0,0,0
"20010219",0,0,0,0,0,0
"20010220",0,0,0,0,0,0
"20010221",0,0,0,0,0,0
"20010222",0,0,0,0,0,0
"20010223",0,0,0,0,0,0
"20010224",1,0,0,0,0,0
"20010225",0,0,0,0,0,0
"20010226",0,0,0,0,0,0
"20010227",1,0,0,0,0,0
"20010228",1,0,0,0,0,0
"20010301",0,0,0,0,0,0
"20010302",0,0,0,0,0,0
"20010303",1,0,0,0,0,0
"20010304",0,0,0,0,0,0
"20010305",0,0,0,0,0,0
"20010306",0,0,0,0,0,0
"20010307",1,0,0,0,0,0
"20010308",0,0,0,0,0,0
"20010309",0,0,0,0,0,0
"20010310",0,0,0,0,0,0
"20010311",1,0,0,0,0,0
"20010312",0,0,0,0,0,0
"20010313",0,0,0,0,0,0
